M00001	(K00844,K12407,K00845,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)
M00002	K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)
M00003	(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)
M00004	(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 K00616 (K01810,K06859,K13810,K15916)
M00005	K00948
M00006	(K13937,((K00036,K19243) (K01057,K07404))) K00033
M00007	K00615 (K00616,K13810) K01783 (K01807,K01808)
M00008	K00036 (K01057,K07404) K01690 K01625
M00009	K01647 (K01681,K01682) (K00031,K00030) (K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)
M00010	K01647 (K01681,K01682) (K00031,K00030)
M00011	(K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)
M00012	K01647 (K01681,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)
M00013	K00249 (K07511,K07514,K07515) K05605 -- K00140
M00014	K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854
M00015	(K00931 K00147,K12657) -- K00286
M00016	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K00674 (K00821,K14267) K01439 K01778 (K01586,K12526)
M00017	(K00928,K12524,K12525,K12526) K00133 (K00003,K12524,K12525) K00651 K01739 K01760 (K00548,K00549)
M00018	(K00928,K12524,K12525,K12526) K00133 (K00003,K12524,K12525) (K00872,K02204,K02203) K01733
M00019	K01652+(K01653,K11258) K00053 K01687 K00826
M00020	K00058 K00831 K01079
M00021	K00640 (K01738,K12339,K13034,K17069)
